Updated best error: 20108.420321009336. was found in iteration 0, time 7.438560577746102
Epochs 0, rate 20108.420321009336, time 7.452246967812243
Epochs 1, rate 20610.662986276657, time 7.544712264880218
Epochs 2, rate 20630.08007808172, time 7.463438290047634
Epochs 3, rate 20497.327376338653, time 7.450723956146248
Epochs 4, rate 20558.851737848956, time 7.464539582691941
Epochs 5, rate 20438.76135323193, time 7.573229622608778
Epochs 6, rate 20365.22104269996, time 7.609174367524247
Epochs 7, rate 20517.979540385408, time 7.498753548206878
Epochs 8, rate 20513.195387573844, time 7.509292195321905
Epochs 9, rate 20133.979400200857, time 7.4662310964631615
Epochs 10, rate 20548.421776041738, time 7.494351160235965
Epochs 11, rate 20464.41791643697, time 7.492039435055631
Epochs 12, rate 20353.671670671243, time 7.469330298441491
Epochs 13, rate 20416.33124332518, time 7.473241402298299
Epochs 14, rate 20845.068302550233, time 7.467760291692684
Epochs 15, rate 20788.61124168563, time 7.490816326215281
Epochs 16, rate 20763.017220654423, time 7.459353428061149
Epochs 17, rate 20288.611733016605, time 7.7607474196775
Epochs 18, rate 20517.515375681713, time 7.7605622219525685
Epochs 19, rate 20291.31982050397, time 7.715369957961229
Epochs 20, rate 20243.13079415913, time 7.646022840228397
Epochs 21, rate 20408.524676488163, time 7.669136691070889
Epochs 22, rate 20498.17926740734, time 7.668591919133178
Epochs 23, rate 20500.08689915821, time 7.759956541915017
Updated best error: 19843.69145245871. was found in iteration 24, time 7.537871079504839
Epochs 24, rate 19843.69145245871, time 7.550744021809805
Epochs 25, rate 20131.064469759356, time 7.5978015577020415
Epochs 26, rate 20106.527344532584, time 7.558807079316466
Epochs 27, rate 20402.249502211034, time 7.5390685265592765
Epochs 28, rate 20144.47804522082, time 7.559290015615261
Updated best error: 19695.606310423984. was found in iteration 29, time 7.486498034711985
Epochs 29, rate 19695.606310423984, time 7.500863998397108
Epochs 30, rate 20107.734972139708, time 7.557080010054051
Epochs 31, rate 20087.730564212296, time 7.471835259977524
Epochs 32, rate 19872.836233049777, time 7.462144997756695
Epochs 33, rate 20685.5142423287, time 7.470870624085364
Epochs 34, rate 20370.20000902133, time 7.486483812514052
Epochs 35, rate 20351.069450236795, time 7.5116283455790835
Epochs 36, rate 20162.136909719018, time 7.4453566231059085
Epochs 37, rate 19995.624718107625, time 7.457216697723197
Epochs 38, rate 20275.493092253222, time 7.454387099107407
Epochs 39, rate 19750.10627192003, time 7.477055424205901
Epochs 40, rate 19879.929345372977, time 7.489257449880824
Epochs 41, rate 19983.96254746476, time 7.458020870144537
Epochs 42, rate 20214.334607792454, time 7.471263280363928
Epochs 43, rate 20394.561512154873, time 7.478283170723444
Epochs 44, rate 20238.018406258532, time 7.477861760875385
Epochs 45, rate 20196.60459431109, time 7.473329208896757
Epochs 46, rate 20320.969425249194, time 7.50988736329964
Epochs 47, rate 20268.7662721163, time 7.469880017226387
Epochs 48, rate 20157.660887068192, time 7.595858063723426
Epochs 49, rate 20166.056825084284, time 7.47518458709601
Epochs 50, rate 20131.965809070036, time 7.535282021504827
Epochs 51, rate 20134.979568633455, time 7.552023091899173
Epochs 52, rate 20627.006596872012, time 7.544560458398337
Epochs 53, rate 20076.35472534993, time 7.563125680000667
Epochs 54, rate 20559.7027415052, time 7.5119996685607475
Epochs 55, rate 20007.434362959364, time 7.557663738440169
Epochs 56, rate 20482.67364268175, time 7.539001125715004
Epochs 57, rate 20564.09743546839, time 7.537079892565089
Epochs 58, rate 20471.54256203187, time 7.541656966201117
Epochs 59, rate 20275.8475571996, time 7.470343475302798
Epochs 60, rate 20440.547888935485, time 7.449558972799423
Epochs 61, rate 20288.55828077815, time 7.471468265488511
Epochs 62, rate 20463.125421353994, time 7.449338219586934
Epochs 63, rate 20462.98574557272, time 7.468442957091611
Epochs 64, rate 20107.85858654127, time 7.4718290764139965
Epochs 65, rate 19814.49892675325, time 7.496170364593127
Epochs 66, rate 20153.130369388364, time 7.490220230702107
Epochs 67, rate 19949.969773097506, time 7.489962994462985
Epochs 68, rate 20061.320987730192, time 7.6084827359518385
Updated best error: 19349.5799413283. was found in iteration 69, time 7.475844682492607
Epochs 69, rate 19349.5799413283, time 7.48886046510961
Epochs 70, rate 19985.078730974867, time 7.4596567318476446
Epochs 71, rate 20739.669752669877, time 7.486254711489892
Epochs 72, rate 20586.531476183438, time 7.47874879304436
Epochs 73, rate 20524.128334954497, time 7.495474713708973
Epochs 74, rate 20487.1285438787, time 7.489288367698464
Epochs 75, rate 20377.241499871034, time 7.478548136412428
Epochs 76, rate 20699.065431462623, time 7.464232568763691
Epochs 77, rate 20566.64477921741, time 7.481462449846731
Epochs 78, rate 20270.371784579274, time 7.446261278433667
Epochs 79, rate 19976.567951377743, time 7.473177402414876
Epochs 80, rate 20649.66701082916, time 7.470983474118839
Epochs 81, rate 19994.055380854916, time 7.454040819557122
Epochs 82, rate 19955.04090117765, time 7.472185249665927
Epochs 83, rate 20297.842990293273, time 7.537811098940438
Epochs 84, rate 20493.188073614445, time 7.490873524177005
Epochs 85, rate 20518.988501524935, time 7.464444046636345
Epochs 86, rate 21104.380177338877, time 7.475700296286959
Epochs 87, rate 20858.546489614913, time 7.488059693645482
Epochs 88, rate 20699.30379959015, time 7.544010430436174
Epochs 89, rate 20580.09697665048, time 7.480063109447656
Epochs 90, rate 20576.00648599609, time 7.4829517610960465
Epochs 91, rate 20663.573035288755, time 7.501269949334528
Epochs 92, rate 20406.417795359772, time 7.584755784799199
Epochs 93, rate 20389.96994276456, time 7.482714312256576
Epochs 94, rate 20335.694368056727, time 7.518485299042368
Epochs 95, rate 20251.208035639676, time 7.4620216356706806
Epochs 96, rate 20177.664934881355, time 7.512083765024727
Epochs 97, rate 20045.716479836545, time 7.490453969399823
Epochs 98, rate 20221.532363585808, time 7.483481692481291
Epochs 99, rate 20075.86920296345, time 7.492265444299846
